名称,拼音,英文名,拉丁名,类别,来源,产地,性状,品质,性味,功效
升麻,Shengma,Skunk Bugbane Rhizome,Cimicifugae Rhizoma,根及根茎类,毛茛科植物大三叶升麻Cimicifuga heracleifolia Kom.、兴安升麻Cimicifuga dahurica (Turcz.) Maxim. 或升麻Cimicifuga foetida L. 的干燥根茎。,主产东北地区。,呈不规则的长形块状，多分枝，呈结节状，长10~20cm，直径2~4cm。表面黑褐色或棕褐色，粗糙不平，有坚硬的细须根残留，上面有数个圆形空洞的茎基痕，洞内壁显放射状网纹；下面凹凸不平，具须根痕。体轻，质坚硬，不易折断，断面不平坦，有裂隙，纤维性，黄绿色或淡黄白色。气微，味微苦而涩。,以体轻泡、质坚、表变黑褐色且个大者为佳。,辛、微辛，微寒。,发表透疹，清热解毒，升举阳气。用于风热头痛，齿痛，口疮，咽喉肿痛，麻疹不透，阳毒发斑；脱肛，子宫脱垂。
石菖蒲,Shichangpu,Tatarinow Sweerflag Rhizome,Acori Tatarinowii Rhizoma,根及根茎类,天南星科植物石菖蒲Acorus tatarinowii Schott.的干燥根茎。,主产江苏、江西、四川、浙江等地。,根茎呈扁圆柱形，稍弯曲，常有分枝，长3~20cm，直径0.3~1cm。表面棕褐色、棕红色或灰黄色，粗糙，多环节，节间长2~8mm；上侧有略呈扁三角形的叶痕，左右交互排列，下侧有圆点状根痕，节部有时残留有毛鳞状叶基。质硬脆，折断面纤维性，类白色或微红色；横切面内皮层环明显，可见多数“筋脉点”及棕色油点。气芳香，味苦、微辛。,以条粗、断面色类白、香气浓者为佳。,辛、苦，温。,化湿开胃，开窍豁痰，醒神益智。用于脘痞不饥，噤口下痢，神昏癫痫，健忘耳聋。
天冬,Tiandong,Cochinchinese Asparagus Root Tuber,Asparagi Radix,根及根茎类,百合科植物天冬Asparagus cochinchinensis (Lour.) Merr.的干燥块根。,主产广西、四川、贵州等地。,干燥的块根呈长圆纺锤形，中部肥满，两端渐细而钝，长6~20cm，中部直径0.5~2cm。表面黄白色或浅黄棕色，呈油润半透明状，有时有细纵纹或纵沟，偶有未除净的黄棕色外皮。干透者质坚硬而脆，未干透者质柔软，有粘性，断面蜡质样，黄白色，半透明，中间有不透明的细木心。臭微，味甘微苦。,以肥满、致密、黄白色、半透明者为佳。,甘、苦，寒。,养阴清热，润燥生津。主治肺结核，支气管炎，白喉，百日咳，口燥咽干，热病口渴，糖尿病，大便燥结；外用治疮疡肿毒，蛇咬伤。
天花粉,Tianhuafen,Snakegourd Root,Trichosanthis Radix,根及根茎类,葫芦科植物栝楼Trichosanthes kirilowii Maxim.的干燥根。,主产河北、山东、陕西、山西等地。,该品呈不规则圆柱形、纺锤形或瓣块状，长8~16cm，直径1.5~5.5cm。表面黄白色或淡棕黄色，有纵皱纹，细根痕及略凹陷的横长皮孔，有的有黄棕色外皮残留。质坚实，断面白色或淡黄色，富粉性，横切面可见黄色木质部，“筋脉点”略呈放射状排列，纵剖面可见黄色纵条纹状木质部。无臭，味微苦。,以根肥大、白色、坚实、粉性足且横断面筋脉点少者为佳。,甘、微苦，微寒。,清热泻火，生津止渴，排脓消肿。治热病口渴、消渴、黄疸、肺燥咳血、痈肿、痔痿。对于治疗糖尿病，常用它与滋阴药配合使用，以达到标本兼治的作用。
天葵子,Tiankuizi,Muskroot - like Semiaquilegia Root,Semiaquilegiae Radix,根及根茎类,毛茛科植物天葵Semiaquilegia adoxoides (DC.) Makino的干燥块根。,主产安徽、江苏、贵州、湖南等地。,块根呈不规则短柱状、纺锤状或块状，略弯曲，有的有2~3短分叉，长1~3cm，直径0.5~1cm。表面暗褐色至灰黑色，具不规则的皱纹及须根或须根痕；顶端常有茎叶残基，外被数层黄褐色鞘状鳞片；中部通常较膨大。质较软，易折断，断面皮部类白色，木部黄白色或黄棕色，略显放射状纹理。气微，味甘、微苦辛。,以个大，断面皮部色白者为佳。,甘、苦、辛，寒。,清热解毒，消肿散结。用于痈肿疔疮，乳痈，瘰疬，蛇虫咬伤。
天南星,Tiannanxing,Reddish Jackinthepulpit Tuber,Arisaematis Rhizoma,根及根茎类,天南星科植物天南星Arisaema erubescens (Wall.) Schott或异叶天南星Arisaema heterophyllum Bl.的干燥块茎。,主产安徽、江苏、河南、河北等地。,本品呈扁球形，高 1~2cm，直径1.5~6.5cm 。表面类白色或淡棕色，较光滑，顶端有凹陷的茎痕，周围有麻点状根痕，有的块茎周边有小扁球状侧芽。质坚硬，不易破碎，断面不平坦，白色，粉性。气微辛，味麻辣。,以个大，粉性足、色白者为佳。,苦、辛，温，有毒。,燥湿化痰，祛风定惊，消肿散结。主治中风半身不遂、癫痫、惊风、破伤风、跌打损伤、或虫蚁咬伤等病症。
土木香,Tumuxiang,Elecampane Inula Root,Inulae Radix,根及根茎类,菊科植物土木香Inula helenium L.的干燥块根。,主产甘肃、新疆、河北等地。,根呈圆柱形或长圆锥形，稍弯曲或扭曲，长10~20cm，直径0.5~2cm。表面深棕以，具纵皱纹及不明显的横向皮孔，头部稍膨大，先端具稍凹陷的茎痕及棕以叶柄残基。质坚硬，不易折断，折断面不平坦，稍呈角质样，乳白以至浅黄棕色，形成层环明显，木质部略显放射状纹理。气微，味微苦而灼辣。,以根粗壮、质坚实、香气浓者为佳。,辛、苦，温。,健脾和胃，调气解郁，止痛安胎。用于胸胁、脘腹胀痛，呕吐泻痢，胸胁挫伤，岔气作痛，胎动不安。
乌药,Wuyao,Combined Spicebush Root,Linderae Radix,根及根茎类,樟科植物乌药Lindera aggregata (Sims) Kosterm.的干燥块根。,主产湖南、浙江等地。,多呈纺锤状，略弯曲，有的中部收缩成连珠状，长6~15cm，直径1~3cm。表面黄棕色或黄褐色，有纵皱纹及稀疏的细根痕。质坚硬。切片厚0.2~2mm，切面黄白色或淡黄棕色，射线放射状，可见年轮环纹，中心颜色较深。气香，味微苦、辛，有清凉感。,以浅棕色、个大、肥壮、质嫩、香气浓者为佳。,辛，温。,行气止痛，温肾散寒。
香附,Xiangfu,Nutgrass Galingale Rhizome,Cyperi Rhizoma,根及根茎类,莎草科植物莎草Cyperus rotundus L.的干燥根茎。,主产湖南、浙江、山东等地。,根茎多呈纺锤形，或略弯曲，长2~3.5cm，直径0.5~1cm。表面棕褐色或黑褐色，有不规则纵皱纹，并有明显而略隆重起的环节 6~10个，节间长2~6mm，节上有众多朝向一方的棕色毛须，并残留根痕；去净毛须的较光滑，有细密的纵脊纹。质坚硬，蒸煮者断面角质样，棕黄色或棕红色，生晒者断面粉性，类白色；内皮层环明显，中柱色较深，维管束点清晰可见。气芳香特异，味微苦。,以个大、坚实、气香、毛须去净者为佳。,辛、微苦、微甘，平。,理气解郁，调经止痛。用于肝郁气滞，胸、胁、脘腹胀痛，消化不良，月经不调，经闭痛经，寒疝腹痛，乳房胀痛。
仙茅,Xianmao,Common Vurculigo Rhizome,Curculiginis Rhizoma,根及根茎类,石蒜科植物仙茅Curculigo orchioides Gaertn.的干燥根茎。,主产两广地区及四川等地。,干燥根茎为圆柱形，略弯曲，两端平，长3~10cm，直径3~8mm。表面棕褐色或黑褐色，粗糙，皱缩不平，有细密而不连续的横纹，并散布有不甚明显的细小圆点状皮孔。未去须根者，在根茎的一端常丛生两端细、中间粗的须根，长约3~6cm，有极密的环状横纹，质轻而疏松，柔软而不易折断。根茎质坚脆，易折断，断面平坦，微带颗粒性 (经蒸过者略呈透明角质状)，皮部浅灰棕色或因糊化而呈红棕色，靠近中心处色较深。微有辛香气，味微苦辛。,以根条粗长、质坚脆、表面黑褐色者为佳。,辛，热，有毒。,温肾阳，壮筋骨。治阳萎精冷，小便失禁，崩漏，心腹冷痛，腰脚冷痹，痈疽，瘰疬，阳虚冷泻。阳痿精寒，腰膝风冷，筋骨痿痹等症。
